id_lead,cargo,setor,tamanho_empresa,fonte_do_lead,tags,produto_de_interesse,valor_investimento,etapa_do_funil,tempo_na_etapa,convertido
1,Gerente,Varejo,Pequena,Indicação,Hot,Plano Pro,2500,Contato,11,1
2,Gerente,Finanças,Pequena,Orgânico,MQL,Plano Premium,10000,Proposta,7,0
3,Analista,Saúde,Pequena,Orgânico,Cold,Plano Básico,500,Qualificação,5,0
4,Analista,Varejo,Média,Anúncio,MQL,Consultoria,6136,Proposta,13,0
5,Gerente,Saúde,Pequena,Indicação,SQL,Plano Básico,500,Contato,12,1
6,Gerente,Educação,Média,Orgânico,Cold,Plano Premium,10000,Contato,37,1
7,Gerente,Manufatura,Média,Indicação,SQL,Plano Básico,500,Qualificação,6,1
8,Diretor,Tecnologia,Média,Orgânico,Hot,Consultoria,221780,Negociação,30,1
9,Diretor,Educação,Pequena,Indicação,Hot,Plano Básico,500,Contato,12,1
10,Gerente,Finanças,Média,Indicação,Cold,Plano Pro,2500,Fechamento,23,1
11,Gerente,Manufatura,Pequena,Indicação,MQL,Plano Premium,10000,Negociação,58,0
12,Analista,Finanças,Média,Indicação,Sem tag,Plano Premium,10000,Negociação,49,1
13,Analista,Saúde,Média,Anúncio,MQL,Consultoria,15787,Contato,6,0
14,Analista,Finanças,Pequena,Indicação,Sem tag,Plano Premium,10000,Proposta,34,0
15,CEO,Manufatura,Média,Anúncio,Hot,Plano Básico,500,Proposta,22,1
16,Analista,Educação,Pequena,Anúncio,Cold,Consultoria,35658,Fechamento,29,1
17,Diretor,Manufatura,Média,Evento,Sem tag,Plano Pro,2500,Contato,16,1
18,Analista,Manufatura,Pequena,Indicação,SQL,Plano Premium,10000,Fechamento,3,1
19,Diretor,Tecnologia,Média,Evento,MQL,Consultoria,1197,Negociação,17,0
20,Gerente,Educação,Média,Orgânico,Sem tag,Consultoria,1668,Fechamento,7,0
21,CEO,Educação,Grande,Orgânico,Cold,Plano Pro,2500,Contato,20,1
22,Gerente,Saúde,Média,Evento,SQL,Consultoria,4365,Proposta,34,0
23,Gerente,Finanças,Média,Evento,MQL,Plano Básico,500,Contato,2,0
24,Gerente,Educação,Média,Orgânico,Cold,Consultoria,3384,Fechamento,5,0
25,Analista,Finanças,Pequena,Orgânico,Cold,Plano Pro,2500,Contato,1,0
26,Diretor,Educação,Pequena,Indicação,Cold,Plano Básico,500,Proposta,34,1
27,Gerente,Manufatura,Pequena,Orgânico,Sem tag,Plano Pro,2500,Negociação,32,0
28,Analista,Finanças,Pequena,Orgânico,SQL,Plano Básico,500,Negociação,45,1
29,Analista,Saúde,Média,Evento,Sem tag,Consultoria,6289,Qualificação,4,0
30,Analista,Manufatura,Pequena,Orgânico,SQL,Plano Premium,10000,Contato,34,0
